subset	n	pearson	spearman	r2	mean_best_iter
all_common	12916	0.7407048820997036	0.7327186323831817	0.5465251207351685	1209.6666666666667
ortholog_all	11569	0.7344434776914733	0.7259461173420791	0.5371434688568115	1291.6666666666667
ortholog_highconf	11389	0.7311196076744698	0.7221973616610351	0.5317195653915405	761.3333333333334
ortholog_highconf_reg_top33	3795	0.7258732597931875	0.7171376454467557	0.523991584777832	432.0
reg_top33	4262	0.7191537073470097	0.7109594089596777	0.5148770809173584	1193.0
reg_top25	3229	0.7135064802572646	0.7043284007856012	0.5057318210601807	629.3333333333334
deep_top33	4262	0.7070258815857929	0.700982596841308	0.4964125156402588	469.6666666666667
cwcs_top33	4263	0.7010589954497286	0.694763528914822	0.4871113896369934	660.6666666666666
deep_top25	3229	0.6974574343724363	0.6895505449328944	0.48359304666519165	577.0
cwcs_top25	3230	0.681766261444961	0.6744616620347618	0.45960986614227295	947.6666666666666
utr3_top33	4262	0.6742970964403041	0.6685988780555596	0.451259970664978	461.0
ortholog_highconf_utr3_top33	3849	0.6732277757622566	0.6640192105507772	0.4502487778663635	628.0
utr3_top25	3230	0.6696637964638997	0.6676201312789474	0.4461517333984375	778.6666666666666
