config_id	max_depth	learning_rate	min_child_weight	subsample	colsample_bytree	reg_lambda	max_bin	pearson	spearman	r2	mean_best_iter
2	5	0.02	2	0.95	0.75	1.0	256	0.7412311001303049	0.7335946844980241	0.5481216907501221	1297.3333333333333
6	6	0.02	4	0.9	0.75	1.5	512	0.7412144188069801	0.7332082315055751	0.5471339225769043	1113.3333333333333
1	5	0.03	2	0.9	0.7	1.0	256	0.7407069821058008	0.7324250306944943	0.5476006269454956	859.0
4	6	0.015	4	0.95	0.8	1.0	256	0.7406961047675604	0.7327095768368234	0.5466488003730774	1623.3333333333333
3	6	0.02	2	0.9	0.8	1.0	256	0.7387067843684408	0.7311952774624408	0.5438711643218994	1094.3333333333333
7	7	0.02	4	0.85	0.7	1.0	256	0.7378304566745008	0.7292680865374587	0.5412967801094055	1230.6666666666667
8	7	0.015	6	0.9	0.75	1.0	256	0.7374698939697719	0.7295130520953789	0.5408756136894226	1259.0
5	6	0.02	4	1.0	0.7	0.5	256	0.7373712397997514	0.7286144789723759	0.541858971118927	1139.0
9	7	0.03	6	0.9	0.75	2.0	256	0.7360952869563779	0.7273781130772454	0.5392184257507324	716.0
10	8	0.02	6	0.85	0.65	1.0	256	0.735139110654554	0.7266623556723749	0.5356840491294861	1110.6666666666667
