sample_id	study	method	cell_type	replicate	species
Bazzini_ActD_HEK293_1	Bazzini	ActD	HEK293	1	human
Bazzini_ActD_HeLa_1	Bazzini	ActD	HeLa	1	human
Bazzini_ActD_RPE_1	Bazzini	ActD	RPE	1	human
Bazzini_4sU_K562_1	Bazzini	4sU	K562	1	human
Akimitsu_BrU_HeLa_1	Akimitsu	BrU	HeLa	1	human
Rinn_ActD_K562_1	Rinn	ActD	K562	1	human
Rinn_ActD_K562_2	Rinn	ActD	K562	2	human
Rinn_ActD_K562_3	Rinn	ActD	K562	3	human
Rinn_ActD_H1ESC_1	Rinn	ActD	H1ESC	1	human
Rinn_ActD_H1ESC_2	Rinn	ActD	H1ESC	2	human
Rinn_ActD_H1ESC_3	Rinn	ActD	H1ESC	3	human
Akimitsu2_BrU4sU_HeLa_1	Akimitsu2	BrU4sU	HeLa	1	human
Jaffrey_ActD_HEK293_1	Jaffrey	ActD	HEK293	1	human
Cramer_4sU_K562_1	Cramer	4sU	K562	1	human
Shendure_4sU_A549_1	Shendure	4sU	A549	1	human
Cramer2_4sU_K562_1	Cramer2	4sU	K562	1	human
Oberdoerffer_BrU_HeLa_1	Oberdoerffer	BrU	HeLa	1	human
Dieterich_4sU_HEK293_1	Dieterich	4sU	HEK293	1	human
Dieterich_4sU_HEK293_2	Dieterich	4sU	HEK293	2	human
Dieterich_4sU_MCF7_1	Dieterich	4sU	MCF7	1	human
Dieterich_4sU_MCF7_2	Dieterich	4sU	MCF7	2	human
He_ActD_HeLa_1	He	ActD	HeLa	1	human
He_ActD_HeLa_2	He	ActD	HeLa	2	human
Marks_ActD_HeLa_1	Marks	ActD	HeLa	1	human
Darnell_ActD_HepG2_1	Darnell	ActD	HepG2	1	human
Mortazavi_4sU_GM12878_1	Mortazavi	4sU	GM12878	1	human
Rissland2_ActD_HEK293_1	Rissland2	ActD	HEK293	1	human
Rissland2_ActD_HEK293_2	Rissland2	ActD	HEK293	2	human
Rissland2_Aman_HEK293_1	Rissland2	Aman	HEK293	1	human
Rissland2_Aman_HEK293_2	Rissland2	Aman	HEK293	2	human
Rissland2_4sU_HEK293_1	Rissland2	4sU	HEK293	1	human
Rissland2_4sU_HEK293_2	Rissland2	4sU	HEK293	2	human
Zimmer_ActD_Bcell_1	Zimmer	ActD	Bcell	1	human
Gejman_4sU_GM07029_1	Gejman	4sU	GM07029	1	human
Gejman_4sU_GM07029_2	Gejman	4sU	GM07029	2	human
Gejman_4sU_GM07029_3	Gejman	4sU	GM07029	3	human
Gejman_4sU_GM10835_1	Gejman	4sU	GM10835	1	human
Gejman_4sU_GM10835_2	Gejman	4sU	GM10835	2	human
Gejman_4sU_GM10835_3	Gejman	4sU	GM10835	3	human
Gejman_4sU_GM12813_1	Gejman	4sU	GM12813	1	human
Gejman_4sU_GM12813_2	Gejman	4sU	GM12813	2	human
Gejman_4sU_GM12813_3	Gejman	4sU	GM12813	3	human
Gejman_4sU_GM12813_4	Gejman	4sU	GM12813	4	human
Gejman_4sU_GM12813_5	Gejman	4sU	GM12813	5	human
Gejman_4sU_GM07019_1	Gejman	4sU	GM07019	1	human
Gejman_4sU_GM12812_1	Gejman	4sU	GM12812	1	human
Gejman_4sU_GM12814_1	Gejman	4sU	GM12814	1	human
Gejman_4sU_GM12815_1	Gejman	4sU	GM12815	1	human
Simon_4sU_K562_1	Simon	4sU	K562	1	human
Simon_4sU_K562_2	Simon	4sU	K562	2	human
Rissland_4sU_HEK293_1	Rissland	4sU	HEK293	1	human
Rissland_4sU_HEK293_2	Rissland	4sU	HEK293	2	human
Rissland_4sU_HEK293_3	Rissland	4sU	HEK293	3	human
Rissland_4sU_HEK293_4	Rissland	4sU	HEK293	4	human
