comparison	subset	n	pearson	spearman	mse	rmse	mae	median_abs_error	mean_signed_diff	sd_signed_diff	p90_abs_error	p95_abs_error
human_no_gejman_pc1_vs_reconstructed_mouse_pc1	all_one2one	10768	0.7892648924075361	0.7824940244580841	0.43999020849003756	0.6633175774016828	0.5123888075621668	0.4128097833132114	0.06807906158602381	0.659814708735418	1.0821248481969024	1.3300886952280093
orthoreg_lambda0p10_vs_reconstructed_mouse_pc1	all_one2one	10768	0.8274613196439591	0.820477556689548	0.3606614141041756	0.6005509254877355	0.4639802694178552	0.37272267967219863	0.06753049709921513	0.5967420263947474	0.9799179389113823	1.2086971421448132
orthoreg_lambda0p10_vs_human_no_gejman_pc1	all_one2one	10768	0.9978908080112765	0.9977882413197919	0.00416836379312918	0.06456286698350051	0.050058545508251985	0.04070185216191019	-0.000548564486808682	0.0645605364764962	0.10543765726490015	0.12932278299768596
saluki_human_pc1_vs_saluki_mouse_prior	all_one2one	10768	0.7979356358229247	0.7879258860972056	0.417770942212336	0.6463520265399777	0.5025513838929944	0.4114695586449857	0.11174297060705368	0.6366195494424016	1.054589159619118	1.2852642852903955
orthoreg_lambda0p10_vs_saluki_human_pc1	all_one2one	10768	0.9899360052315405	0.9915309733394471	0.02027418894763328	0.1423874606404415	0.09412959025768047	0.06276416330241441	-0.0007334717600796211	0.14238557148394787	0.20313577606775016	0.2905433090114328
human_no_gejman_pc1_vs_reconstructed_mouse_pc1	high_confidence	10626	0.7911902896723537	0.7842779216084695	0.43610732622602094	0.6603842262092735	0.509999675604329	0.41040797649851574	0.06790379315181114	0.6568838566303912	1.0777850400676556	1.325726770624958
orthoreg_lambda0p10_vs_reconstructed_mouse_pc1	high_confidence	10626	0.8290871456649865	0.8220429681508996	0.35746691078989973	0.5978853659271982	0.4618110873647383	0.3714155289905424	0.06741483903037004	0.5940725126349538	0.9737361166882244	1.2012202073690437
orthoreg_lambda0p10_vs_human_no_gejman_pc1	high_confidence	10626	0.9979063789002914	0.9977982231530791	0.004135610832871092	0.06430871506157694	0.04984845364880555	0.0406074667857759	-0.0004889541214410887	0.06430685621874399	0.10476285759115754	0.12873525923113846
saluki_human_pc1_vs_saluki_mouse_prior	high_confidence	10626	0.7996014595984544	0.7894636264185546	0.4142416269799625	0.6436160555641558	0.5002771663328262	0.40904020646294226	0.11174591660309914	0.6338410503450334	1.0476246495293515	1.2752427172148637
orthoreg_lambda0p10_vs_saluki_human_pc1	high_confidence	10626	0.9899606116333342	0.9915562166168046	0.020223328732327253	0.14220875054766233	0.09396811214516344	0.06255014260006622	-0.000750339776220833	0.14220677101512247	0.20268096638746858	0.29024278633313494
