sample_id	PC1	PC2	study	method	cell_type	replicate	species
Mattick_ActD_Neuro2a_1	4.255327752552985	-19.111998021072242	Mattick	ActD	Neuro2a	1	mouse
Bartel2_5EU_3T3_1	52.00413766878359	12.046694638346134	Bartel2	5EU	3T3	1	mouse
Bartel2_5EU_3T3_2	52.99603537181614	12.49556772630944	Bartel2	5EU	3T3	2	mouse
Regev_4sU_Dendritic_1	57.57204691935551	-9.969847811926169	Regev	4sU	Dendritic	1	mouse
Regev2_4sU_Dendritic_1	-96.25320266347111	41.22539109102641	Regev2	4sU	Dendritic	1	mouse
Selbach_4sU_3T3_1	9.202014111365479	36.88980261430561	Selbach	4sU	3T3	1	mouse
Selbach_4sU_3T3_2	7.821415854187758	58.060983224832015	Selbach	4sU	3T3	2	mouse
Bartel_ActD_3T3_1	56.32842159535429	-23.94534143134471	Bartel	ActD	3T3	1	mouse
Hu_ActD_mESC_1	8.045890599891443	-42.33640545591588	Hu	ActD	mESC	1	mouse
Ko_ActD_mESC_MC1.LIFpos	-35.90634051451941	-81.13760556115355	Ko	ActD	mESC	MC1.LIFpos	mouse
Ko_ActD_mESC_MC2.LIFpos	-34.33841038457112	-76.20453022804959	Ko	ActD	mESC	MC2.LIFpos	mouse
Ko_ActD_mESC_MC1.LIFneg	-22.20184173300693	-82.57542742180532	Ko	ActD	mESC	MC1.LIFneg	mouse
Ko_ActD_mESC_MC1.RApos	-31.223034929382163	-59.58980786341861	Ko	ActD	mESC	MC1.RApos	mouse
Darnell_ActD_mESC_1	15.654831999691938	-41.21342310473118	Darnell	ActD	mESC	1	mouse
Dolken_4sU_M2-10B4_1	45.27287930213434	4.263315405958739	Dolken	4sU	M2-10B4	1	mouse
Hanna_ActD_EB_1	-60.763221264056	-23.25751182263202	Hanna	ActD	EB	1	mouse
Hanna_ActD_mESC_1	-17.165783882483808	-2.355585182942531	Hanna	ActD	mESC	1	mouse
Ameres_4sU_mESC_1	57.412534629098175	-9.767379500300063	Ameres	4sU	mESC	1	mouse
Koszinowski_4sU_3T3_1	23.971866216518986	10.696388501698701	Koszinowski	4sU	3T3	1	mouse
Rissland2_4sU_3T3_1	36.90498096691067	7.040944167268359	Rissland2	4sU	3T3	1	mouse
Rissland2_4sU_3T3_2	-1.9293975045674778	26.104273478863526	Rissland2	4sU	3T3	2	mouse
Simon_4sU_MEF_1	33.50035676759165	60.94296940257202	Simon	4sU	MEF	1	mouse
Simon_4sU_MEF_2	30.943569363882528	62.7782113148216	Simon	4sU	MEF	2	mouse
Wilusz_ActD_C2C12_1	-83.71312040840861	46.265105615905945	Wilusz	ActD	C2C12	1	mouse
Wilusz_ActD_C2C12_2	-87.17336956502643	44.841580934604885	Wilusz	ActD	C2C12	2	mouse
Wilusz_ActD_C2C12_3	-67.33563912817522	37.965229979373845	Wilusz	ActD	C2C12	3	mouse
Zimmer_ActD_3T3_1	46.11705285853289	9.848405309404537	Zimmer	ActD	3T3	1	mouse
