study	n_samples_removed	pc1_stability_pearson	pc1_stability_spearman	saluki_reference_pc1_pearson	saluki_reference_pc1_spearman	delta_saluki_reference_pc1_pearson	delta_saluki_reference_pc1_spearman
Hanna	2	0.955207205496242	0.955572731663128	0.9470138811890869	0.951556213986978	-0.010727452055999898	-0.005899150150769805
Ko	4	0.9634048402983091	0.9645226637833557	0.9444093521405752	0.9483494840401148	-0.013331981104511614	-0.009105880097633023
Wilusz	3	0.9639555927341272	0.9654188273332772	0.9401520649109658	0.9377216638028555	-0.017589268334121	-0.0197337003348923
Hu	1	0.976969486023244	0.9702765474691111	0.9446343929179881	0.9445201557566651	-0.013106940327098693	-0.012935208381082641
Rissland2	2	0.9802622804925385	0.9803572706834046	0.9461822092356613	0.9455832322369027	-0.011559124009425492	-0.011872131900845129
Regev2	1	0.9848133116707677	0.986972041086009	0.94531420032422	0.9463412726996464	-0.012427132920866835	-0.011114091438101381
Bartel	1	0.9863559533864249	0.9845611525810798	0.944545313439605	0.943358841796265	-0.013196019805481796	-0.014096522341482842
Regev	1	0.9886331661259	0.9916751511271444	0.9464994896364387	0.9481016787714432	-0.011241843608648106	-0.009353685366304543
Mattick	1	0.9889113173846327	0.987691871724712	0.9512163041931161	0.950289107855336	-0.006525029051970721	-0.007166256282411743
Dolken	1	0.9891713630629639	0.9886008000093162	0.9502504358063333	0.9501860262507547	-0.00749089743875353	-0.0072693378869931324
Selbach	2	0.9923414031163854	0.9932564172872649	0.9533574344457934	0.953388513747318	-0.004383898799293462	-0.004066850390429755
Simon	2	0.9943471249164709	0.9942456022897961	0.9602404794193666	0.959560204419175	0.0024991461742798204	0.0021048402814272116
Zimmer	1	0.9966520129814704	0.9967649521524578	0.9572816361125174	0.9575888295323571	-0.00045969713256943656	0.00013346539460934448
Bartel2	2	0.9970911564641924	0.9970899416595378	0.9596858282402408	0.9600716687301569	0.0019444949951540336	0.0026163045924091355
Darnell	1	0.9974473527216984	0.9973837609815669	0.9537489414577067	0.9530202009458122	-0.00399239178738009	-0.004435163191935598
Ameres	1	0.9975986648505346	0.9975837206894221	0.9557358531552144	0.9556293136696865	-0.0020054800898724467	-0.00182605046806128
Koszinowski	1	0.999414644390825	0.9994583356416645	0.9569491733092236	0.9566358517855956	-0.0007921599358632347	-0.000819512352152163
