estimator	study	n_samples_removed	n_genes_overlap	pearson	spearman
sample_weighted	Akimitsu	1	16395	0.9921366977094138	0.9914055484744221
sample_weighted	Akimitsu2	1	16436	0.9993113590136887	0.999257920412093
sample_weighted	Bazzini	4	16071	0.9875738182696859	0.9862416509811158
sample_weighted	Cramer	1	16393	0.995296575573199	0.994476471690419
sample_weighted	Cramer2	1	16432	0.9997463770826013	0.9997836023742632
sample_weighted	Darnell	1	16432	0.9992941407177972	0.9993021476367502
sample_weighted	Dieterich	4	16404	0.9742266031848651	0.9772656496458484
sample_weighted	Gejman	15	15788	0.9550487491223754	0.9568225443613033
sample_weighted	He	2	16375	0.9948934147682017	0.9952955582278111
sample_weighted	Jaffrey	1	16348	0.9965244984162187	0.9962433483606677
sample_weighted	Marks	1	16434	0.9994134569902787	0.9994091401028752
sample_weighted	Mortazavi	1	16397	0.9957189424098343	0.995408711697428
sample_weighted	Oberdoerffer	1	16376	0.9920246805116522	0.9914843517831757
sample_weighted	Rinn	6	15910	0.9730059914698808	0.9733373038230504
sample_weighted	Rissland	4	16394	0.9880255454605867	0.9883182594101358
sample_weighted	Rissland2	6	15920	0.9752145314282962	0.9756010268053664
sample_weighted	Shendure	1	16290	0.99413503679416	0.9931752890805005
sample_weighted	Simon	2	16421	0.9981256079682359	0.9981629547891377
sample_weighted	Zimmer	1	16432	0.9980767767612482	0.9981663409882854
equal_study_weighted	Akimitsu	1	16395	0.9834104663558623	0.982869600572564
equal_study_weighted	Akimitsu2	1	16436	0.9974493311774096	0.9974163731663553
equal_study_weighted	Bazzini	4	16071	0.9818714112847727	0.9819827573521207
equal_study_weighted	Cramer	1	16393	0.9913305604755115	0.9908732846523062
equal_study_weighted	Cramer2	1	16432	0.9994047310721169	0.9995135881384701
equal_study_weighted	Darnell	1	16432	0.9979200931399257	0.9979512329796658
equal_study_weighted	Dieterich	4	16404	0.965343569014361	0.9702149121609421
equal_study_weighted	Gejman	15	15788	0.9795891228244332	0.9823676570410773
equal_study_weighted	He	2	16375	0.9956272714219544	0.9960698921704546
equal_study_weighted	Jaffrey	1	16348	0.9964875635467194	0.9967815661211586
equal_study_weighted	Marks	1	16434	0.9978384443768714	0.9979259617821756
equal_study_weighted	Mortazavi	1	16397	0.9936126078188482	0.9937873323000681
equal_study_weighted	Oberdoerffer	1	16376	0.9854566670431175	0.9854307687818112
equal_study_weighted	Rinn	6	15910	0.9821121633829221	0.9848826316403122
equal_study_weighted	Rissland	4	16394	0.9866599865271377	0.9880729175009203
equal_study_weighted	Rissland2	6	15920	0.972052235635412	0.9760723446422505
equal_study_weighted	Shendure	1	16290	0.9859644884635648	0.9849585493907299
equal_study_weighted	Simon	2	16421	0.9977800637774125	0.9978985937838218
equal_study_weighted	Zimmer	1	16432	0.9964565614865911	0.9967119320313861
study_mean_collapsed	Akimitsu	1	16395	0.9822073307917122	0.9816984765751794
study_mean_collapsed	Akimitsu2	1	16436	0.9972339887396551	0.997205052795784
study_mean_collapsed	Bazzini	4	16071	0.9848179360826695	0.9849719186725113
study_mean_collapsed	Cramer	1	16393	0.9906953828378274	0.9902328530742159
study_mean_collapsed	Cramer2	1	16432	0.9993921142873605	0.9995100819608287
study_mean_collapsed	Darnell	1	16432	0.997712616440428	0.9977783754535907
study_mean_collapsed	Dieterich	4	16404	0.9633609565675526	0.9681890529142344
study_mean_collapsed	Gejman	15	15788	0.9776107176245175	0.9801559026668741
study_mean_collapsed	He	2	16375	0.9956200169589241	0.9961518061372394
study_mean_collapsed	Jaffrey	1	16348	0.9964655987633562	0.9968630150416935
study_mean_collapsed	Marks	1	16434	0.9976406860991234	0.9977641165557738
study_mean_collapsed	Mortazavi	1	16397	0.9931227036152234	0.9934084441259445
study_mean_collapsed	Oberdoerffer	1	16376	0.9840518968643811	0.984050356041987
study_mean_collapsed	Rinn	6	15910	0.9813038190714345	0.9842137940334894
study_mean_collapsed	Rissland	4	16394	0.985999521039965	0.987391094256527
study_mean_collapsed	Rissland2	6	15920	0.9708647100568824	0.9749708491200431
study_mean_collapsed	Shendure	1	16290	0.9851844198255924	0.984225300077068
study_mean_collapsed	Simon	2	16421	0.9976385814087078	0.9977804293243122
study_mean_collapsed	Zimmer	1	16432	0.996251044761867	0.9965740184241978
